名字,简介,排名
百度,网站简介：百度，全球大的中文搜索引擎、大的中文网站。2000年1月创立于北京中关村。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='1'>]"
搜狗,网站简介：搜狗是搜狐公司的旗下子公司，于2004年8月3日推出，目的是增强搜狐网的搜索技能，主要经营搜狐公司的搜索业务。在搜索业务的同时，也推出搜狗输入法、免费邮箱、企业邮箱等...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='2'>]"
好搜,网站简介：好搜是奇虎360公司推出的独立搜索品牌，致力于为您提供更精准、更快捷、更安全的搜索服务。用好搜，特顺手。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='3'>]"
腾讯网,网站简介：腾讯网从2003年创立至今，已经成为集新闻信息，区域垂直生活服务、社会化媒体资讯和产品为一体的互联网媒体平台。腾讯网下设新闻、科技、财经、娱乐、体育、汽车、时尚等多...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='4'>]"
网易,网站简介：网易是中国领先的互联网技术公司，为用户提供免费邮箱、游戏、搜索引擎服务，开设新闻、娱乐、体育等30多个内容频道，及博客、视频、论坛等互动交流，网聚人的力量。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='5'>]"
知乎,网站简介：一个真实的网络问答社区，帮助你寻找答案，分享知识。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='6'>]"
豆瓣,网站简介：豆瓣提供图书、电影、音乐唱片的推荐、评论和价格比较，以及城市独特的文化生活。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='7'>]"
新浪网,网站简介：新浪网为全球用户24小时提供全面及时的中文资讯，内容覆盖国内外突发新闻事件、体坛赛事、娱乐时尚、产业资讯、实用信息等，设有新闻、体育、娱乐、财经、科技、房产、汽车...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='8'>]"
搜狐,网站简介：搜狐网为用户提供24小时不间断的x新闻资讯，及搜索、邮件等网络服务。内容包括全球热点事件、突发新闻、时事评论、热播影视剧、体育赛事、行业动态、生活服务信息，以及论坛...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='9'>]"
爱奇艺,网站简介：爱奇艺（iqiyi.com）是全球领先的提供海量、优质、高清的网络视频服务的大型视频网站，网络视频播放首选平台。爱奇艺影视内容丰富多元，涵盖电影、电视剧、动漫、综艺、生活...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='10'>]"
哔哩哔哩弹幕视频网,网站简介：bilibili是国内知名的视频弹幕网站，这里有及时的动漫新番，棒的acg氛围，有创意的up主。大家可以在这里找到许多欢乐。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='11'>]"
CSDN,网站简介：CSDN.NET - 全球大中文IT社区，为IT专业技术人员提供全面的信息传播和服务平台...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='12'>]"
中关村在线,"网站简介：中国领先的IT信息与商务门户, 包括新闻, 商城, 硬件, 下载, 游戏, 手机, 评测等40个大型频道，每天发布大量各类产品促销信息及文章专题，是IT行业的厂商, 经销商, IT产品, ...","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='13'>]"
CSDN博客,"网站简介：CSDN深度IT技术博客，移动开发博客,Web前端博客,企业架构博客,编程语言博客,互联网博客,数据库博客,系统运维博客,云计算博客,研发管理博客,IT blog...","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='14'>]"
豆瓣电影,网站简介：豆瓣电影提供新的电影介绍及评论包括上映影片的影讯查询及购票服务。你可以记录想看、在看和看过的电影电视剧，顺便打分、写影评。根据你的口味，豆瓣电影会推荐好电影给你...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='15'>]"
阿里巴巴1688,网站简介：阿里巴巴（1688.com）是全球企业间（B2B）电子商务的著名品牌，为数千万网商提供海量商机信息和便捷安全的在线交易市场，也是商人们以商会友、真实互动的社区平台。目前168...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='16'>]"
京东商城,"网站简介：京东商城-专业的数码网上购物商城,产品包括数码、家电、手机、电脑配件、网络产品等数万种商品直销,便捷，诚信的服务,为您提供愉悦的网上商城购物体验!...","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='17'>]"
新浪微博,网站简介：微博是基于用户关系的社交媒体平台，用户可以通过PC、手机等多种移动终端接入，以文字、图片、视频等多媒体形式，实现信息的即时分享、传播互动 。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='18'>]"
优酷网,"网站简介：优酷-中国第一视频网站,提供视频播放,视频发布,视频搜索 - 视频服务平台,提供视频播放,视频发布,视频搜索,视频分享 - 优酷视频。...","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='19'>]"
东方财富网,网站简介：东方财富网，专业的互联网财经媒体，提供7*24小时财经资讯及全球金融市场报价，汇聚全方位的综合财经新闻和金融市场资讯，覆盖股票、财经、证券、金融、美股、港股、行情、...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='20'>]"
腾讯视频,网站简介：腾讯视频致力于打造中国领先的在线视频媒体平台，以丰富的内容、极致的观看体验、便捷的登录方式、24小时多平台无缝应用体验以及快捷分享的产品特性，主要满足用户在线观看...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='21'>]"
站长之家,网站简介：站长之家(中国站长站)为个人站长与企业网络提供全面的站长资讯、源代码程序下载、海量建站素材、强大的搜索优化辅助工具、网络产品设计与运营理念以及一站式网络解决方案，...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='22'>]"
凤凰网,网站简介：凤凰网是中国领先的综合门户网站，提供含文图音视频的全方位综合新闻资讯、深度访谈、观点评论、财经产品、互动应用、分享社区等服务，同时与凤凰无线、凤凰宽频形成三屏联...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='23'>]"
搜狐视频,网站简介：搜狐视频是搜狐旗下专业的综合视频网站，提供正版高清电影、电视剧、综艺、纪录片、动漫等。网罗新热新闻、娱乐咨询，同时提供免费视频空间和视频分享服务。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='24'>]"
游侠网,网站简介：游侠网为单机游戏玩家提供最新单机游戏业界动态、国内外单机游戏下载、单机游戏补丁、单机游戏攻略秘籍、单机游戏专题等内容。坚守单机阵地，弘扬单机文化！...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='25'>]"
太平洋电脑网,"网站简介：太平洋电脑网是专业IT门户网站,为用户和经销商提供IT资讯和行情报价,涉及电脑,手机,数码产品,软件等....","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='26'>]"
58同城 ,网站简介：58同城是国内领先的生活分类信息网站，海量生活信息免费发布查询。提供找房子、找工作、二手物品买卖、二手车、58团购、商家黄页、宠物票务、旅游交友等多种生活信息。每天...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='27'>]"
酷狗音乐,网站简介：酷狗音乐旗下新全的在线正版音乐网站，本站为您免费提供海量的在线音乐试听下载，以及全球海量电台和mv播放服务、最新音乐播放器下载。酷狗音乐 和音乐在一起。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='28'>]"
3DMGAME,"网站简介：3dmgame以专业的单机游戏新闻中心，攻略中心,丰富的单机游戏下载大全中文版下载资源，强的游戏改造和汉化能力,强大的单机游戏论坛为重要组成部分,拥有全国一流的单机游戏平...","[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='29'>]"
本地宝,网站简介：深圳本地城市生活门户网站，提供深圳地区交通、旅游、房地产、美食、购物、教育、医疗、求职招聘、团购、诚信商家等生活服务类精华实用资讯。...,"[<Selector xpath='.//strong[@class=""col-red02""]/text()' data='30'>]"
